Index,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-12-21,410.5,411.5,405.0,410.5,0.0,410.0,116956.0,659831.0
2014-12-28,410.5,415.0,405.5,414.0,7.0,414.5,51475.0,645230.0
2015-01-04,396.5,398.0,391.0,395.5,1.5,395.5,88285.0,634682.0
2015-01-11,394.5,401.0,393.0,400.0,6.0,400.5,153628.0,611186.0
2015-01-18,380.0,388.0,379.0,386.5,7.0,387.0,142085.0,593836.0
2015-01-25,384.0,388.0,382.0,386.5,3.0,386.5,168606.0,572655.0
2015-02-01,372.5,373.0,365.5,370.0,1.0,370.0,194038.0,544422.0
2015-02-08,385.0,389.0,380.0,385.5,0.0,385.5,200275.0,497289.0
2015-02-15,383.0,388.0,382.5,387.0,4.5,387.5,166093.0,370981.0
2015-02-22,389.0,389.0,383.0,385.5,4.0,385.5,128800.0,259783.0
2015-03-01,379.0,387.5,377.0,383.0,4.0,384.0,34892.0,37931.0
2015-03-08,381.0,382.0,376.0,377.0,3.0,379.5,4630.0,7851.0
2015-03-15,388.5,389.75,380.25,380.5,8.0,380.5,153402.0,528320.0
2015-03-22,373.5,387.5,372.75,384.75,11.5,385.0,209490.0,575536.0
2015-03-29,391.0,393.5,389.25,390.25,0.25,391.0,134939.0,523290.0
2015-04-05,386.5,386.5,386.5,386.5,4.75,386.5,0.0,470964.0
2015-04-12,378.25,379.5,374.25,377.0,1.0,377.0,194371.0,423043.0
2015-04-19,376.25,380.75,375.0,379.5,3.5,379.75,151864.0,293453.0
2015-04-26,371.0,371.25,363.75,364.25,6.25,364.5,144204.0,162919.0
2015-05-03,362.5,363.0,357.5,359.0,2.75,359.75,6083.0,12574.0
2015-05-10,357.75,359.0,356.5,358.5,0.75,358.5,1208.0,1950.0
2015-05-17,367.75,371.5,362.0,364.75,2.5,365.5,170525.0,677379.0
2015-05-24,364.0,367.75,359.5,360.0,5.0,360.0,153922.0,679460.0
2015-05-31,353.25,357.0,350.0,351.5,2.0,351.5,140694.0,669409.0
2015-06-07,362.75,367.25,359.75,360.25,3.0,360.5,208571.0,621950.0
2015-06-14,356.0,356.75,352.25,353.0,3.5,353.0,222450.0,436164.0
2015-06-21,357.75,358.0,351.75,353.5,4.75,353.25,163985.0,294723.0
2015-06-28,376.0,390.0,375.5,384.75,8.5,385.0,185748.0,131871.0
2015-07-05,413.0,422.0,409.75,420.0,6.0,419.75,10981.0,14585.0
2015-07-12,420.0,431.0,418.0,427.0,6.0,427.25,1925.0,2742.0
2015-07-19,428.0,429.5,418.25,420.0,9.75,420.25,99861.0,526143.0
2015-07-26,403.25,403.5,392.0,393.0,10.75,392.5,81299.0,505861.0
2015-08-02,374.75,377.5,369.25,371.75,2.25,371.0,91978.0,447466.0
2015-08-09,370.0,375.0,366.5,373.5,3.0,372.75,121900.0,405888.0
2015-08-16,363.75,365.75,359.75,364.25,0.25,364.0,108362.0,296761.0
2015-08-23,370.25,372.5,364.0,365.25,5.75,365.25,81827.0,210419.0
2015-08-30,362.5,368.75,362.25,362.75,0.5,363.25,114820.0,64216.0
2015-09-06,348.0,351.0,346.75,350.25,1.75,349.5,5723.0,5156.0
2015-09-13,361.75,374.75,357.0,374.75,12.75,374.5,2234.0,1989.0
2015-09-20,380.0,382.5,376.5,377.25,2.5,377.25,113972.0,730920.0
2015-09-27,381.25,389.5,381.0,389.0,7.5,389.0,128342.0,744278.0
2015-10-04,388.0,391.5,384.0,389.0,0.5,389.25,151911.0,745070.0
2015-10-11,391.0,394.25,381.5,382.25,8.5,382.75,252355.0,725633.0
2015-10-18,375.5,378.0,372.5,377.25,1.25,376.75,130516.0,699199.0
2015-10-25,377.75,380.0,375.0,380.0,1.5,379.75,159642.0,661449.0
2015-11-01,379.75,383.75,378.75,382.0,2.25,382.25,135612.0,634218.0
2015-11-08,374.75,375.25,370.0,373.0,1.5,373.0,198884.0,571498.0
2015-11-15,361.5,362.25,358.0,358.25,3.75,358.25,153132.0,413097.0
2015-11-22,363.5,366.5,362.0,363.0,1.0,363.25,337893.0,284375.0
2015-11-29,365.25,365.75,358.75,359.5,6.75,359.25,69852.0,63539.0
2015-12-06,370.0,376.5,369.75,376.0,6.0,376.25,4819.0,11442.0
2015-12-13,377.0,378.75,372.75,373.25,4.25,373.0,2028.0,2474.0
2015-12-20,374.25,379.5,372.75,374.5,0.25,374.5,170593.0,691739.0
2015-12-27,365.0,365.75,363.5,364.5,1.0,364.5,51661.0,697568.0
2016-01-03,358.5,360.25,357.5,358.25,0.25,358.75,68098.0,709297.0
2016-01-10,353.0,357.75,352.75,356.75,4.0,357.0,166521.0,727244.0
2016-01-17,358.0,363.5,356.0,363.0,5.25,363.25,169959.0,696238.0
2016-01-24,366.75,371.5,366.5,369.0,3.25,370.25,154634.0,659902.0
2016-01-31,365.25,372.5,365.0,371.25,6.5,372.0,201077.0,606956.0
2016-02-07,369.0,369.5,365.5,365.75,2.75,365.75,211533.0,571053.0
2016-02-14,361.0,362.0,358.25,359.0,1.5,358.75,169831.0,423379.0
2016-02-21,365.25,367.5,364.75,365.0,1.75,365.5,178432.0,297265.0
2016-02-28,355.5,356.25,352.5,354.5,1.0,354.5,113427.0,70946.0
2016-03-06,354.0,357.75,353.5,355.0,0.75,354.5,2248.0,7846.0
2016-03-13,362.5,366.25,362.25,366.25,3.5,366.0,1779.0,1706.0
2016-03-20,368.0,369.25,366.0,366.75,1.5,367.0,87737.0,636918.0
2016-03-27,368.75,370.25,367.25,370.0,1.5,370.0,130500.0,613585.0
2016-04-03,351.75,354.5,347.25,354.0,2.5,354.0,249214.0,586734.0
2016-04-10,361.5,362.75,359.0,361.75,0.75,362.25,205697.0,492020.0
2016-04-17,373.5,380.5,372.0,377.5,4.5,378.5,281613.0,290718.0
2016-04-24,384.25,384.25,370.5,372.0,12.75,371.75,152162.0,173454.0
2016-05-01,387.0,392.0,385.0,390.75,3.25,390.25,19306.0,21879.0
2016-05-08,372.25,377.5,372.25,376.0,4.25,376.0,1521.0,3129.0
2016-05-15,380.25,385.5,380.25,384.0,3.25,382.0,285.0,235.0
2016-05-22,390.0,396.75,389.0,394.25,4.5,394.5,170599.0,630188.0
2016-05-29,408.0,413.5,406.5,412.25,4.5,412.75,163672.0,621356.0
2016-06-05,414.0,419.25,410.5,418.0,3.0,418.25,168767.0,576336.0
2016-06-12,426.5,437.0,420.0,424.0,3.5,423.0,270454.0,442892.0
2016-06-19,425.0,438.25,423.5,437.5,12.5,437.75,166751.0,280303.0
2016-06-26,387.5,390.0,373.5,385.25,2.75,384.5,146844.0,171291.0
2016-07-03,360.75,362.25,351.75,353.5,5.75,353.0,6565.0,10624.0
2016-07-10,337.25,349.75,336.75,349.75,14.25,349.75,1158.0,1900.0
2016-07-17,356.5,361.0,343.0,352.25,5.5,352.25,94795.0,512249.0
2016-07-24,334.5,336.75,326.75,334.0,0.75,335.0,90173.0,501032.0
2016-07-31,331.25,335.0,328.75,333.75,3.25,334.5,88267.0,464648.0
2016-08-07,320.5,325.0,320.0,324.0,3.5,324.25,117937.0,422893.0
2016-08-14,320.5,323.0,312.0,320.25,1.25,322.25,130151.0,293469.0
2016-08-21,332.25,334.75,330.0,332.5,2.25,334.25,75930.0,225745.0
2016-08-28,323.5,325.25,315.75,316.0,7.25,316.25,73781.0,144554.0
