Timestamp,Trade Price,Trade Volume,Best Bid,Bid Size,Best Ask,Ask Size,Upper Limit,Lower Limit,Turnover,Calc VWAP,Flow
2016-06-28T15:45:45.551,47.91,1,47.91,1,47.92,36,56.33,36.33,47.91,47.85,-16800.16
2016-06-28T15:45:44.471,,,47.91,1,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.460,,,47.90,37,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.440,,,47.90,37,47.92,37,56.33,36.33,,,
2016-06-28T15:45:44.440,,,47.90,37,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.440,,,47.90,40,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.440,,,47.90,42,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.430,,,47.90,39,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.430,,,47.90,37,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.430,,,47.90,38,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.430,,,47.90,38,47.92,37,56.33,36.33,,,
2016-06-28T15:45:44.420,47.91,1,47.91,1,47.92,37,56.33,36.33,47.91,47.85,-16848.07
2016-06-28T15:45:44.420,,,47.91,1,47.92,37,56.33,36.33,,,
2016-06-28T15:45:44.420,,,47.91,1,47.92,38,56.33,36.33,,,
2016-06-28T15:45:44.420,47.91,1,47.91,2,47.92,38,56.33,36.33,47.91,47.85,-16895.98
2016-06-28T15:45:44.420,,,47.91,2,47.92,38,56.33,36.33,,,
2016-06-28T15:45:44.420,47.91,8,47.91,3,47.92,38,56.33,36.33,383.28,47.85,-16943.89
2016-06-28T15:45:44.420,,,47.91,3,47.92,38,56.33,36.33,,,
2016-06-28T15:45:44.381,,,47.91,3,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.331,,,47.91,3,47.92,37,56.33,36.33,,,
2016-06-28T15:45:44.270,,,47.91,3,47.92,36,56.33,36.33,,,
2016-06-28T15:45:44.211,,,47.91,3,47.92,35,56.33,36.33,,,
2016-06-28T15:45:43.430,,,47.91,2,47.92,35,56.33,36.33,,,
2016-06-28T15:45:43.430,,,47.91,2,47.92,36,56.33,36.33,,,
2016-06-28T15:45:43.430,,,47.91,2,47.92,37,56.33,36.33,,,
2016-06-28T15:45:43.430,,,47.91,2,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,39,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,39,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,43,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,42,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,2,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.411,,,47.91,1,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,2,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,2,47.92,42,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,2,47.92,43,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,43,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,39,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,38,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,39,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,43,56.33,36.33,,,
2016-06-28T15:45:43.401,,,47.91,1,47.92,44,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.91,1,47.92,45,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.91,1,47.92,46,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,37,47.92,46,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,37,47.92,47,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,37,47.92,48,56.33,36.33,,,
2016-06-28T15:45:43.390,47.91,2,47.90,37,47.91,2,56.33,36.33,95.82,47.85,-17327.17
2016-06-28T15:45:43.390,,,47.90,37,47.91,2,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,36,47.91,2,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,36,47.91,3,56.33,36.33,,,
2016-06-28T15:45:43.390,,,47.90,35,47.91,3,56.33,36.33,,,
2016-06-28T15:45:43.381,,,47.90,34,47.91,3,56.33,36.33,,,
2016-06-28T15:45:43.381,,,47.90,34,47.91,7,56.33,36.33,,,
2016-06-28T15:45:42.999,,,47.90,34,47.91,11,56.33,36.33,,,
2016-06-28T15:45:41.999,,,47.90,33,47.91,11,56.33,36.33,,,
2016-06-28T15:45:40.162,,,47.90,33,47.91,12,56.33,36.33,,,
2016-06-28T15:45:36.560,,,47.90,33,47.91,11,56.33,36.33,,,
